Order ID,Start Northing,Start Easting,End Northing,End Easting
1,185658.7,520531.03,178312.25,521382.38
2,185658.7,520531.03,190712.41,523520.0
3,165727.01,530631.31,164912.94,518139.17
4,164142.21,530990.34,161707.93,539053.78
5,180193.93,550041.28,179615.48,553376.27
6,185658.7,520531.03,189500.81,521370.72
7,165727.01,530631.31,165395.34,522307.21
8,167766.96,546937.62,166444.6,544893.87
9,165727.01,530631.31,172166.52,531872.7
10,182084.59,533269.42,183653.0,526848.02
11,185648.81,520386.09,188594.32,515739.53
12,165727.01,530631.31,170956.33,528895.81
13,179908.41,533781.95,178184.97,531715.08
14,185658.7,520531.03,182502.7,524503.76
15,182084.59,533269.42,183570.87,533605.14
16,182781.49,546601.21,184818.93,549397.76
17,185648.81,520386.09,185909.63,514228.27
18,165727.01,530631.31,168357.24,517017.78
19,182084.59,533269.42,182489.66,534429.75
20,179908.41,533781.95,175660.71,532167.84
21,182781.49,546601.21,188869.8,548744.46
22,179908.41,533781.95,177367.15,535739.49
23,185658.7,520531.03,186295.76,523981.54
24,185648.81,520386.09,186638.36,512324.71
25,179908.41,533781.95,177267.73,534636.38
26,182084.59,533269.42,183740.16,532399.5
27,185648.81,520386.09,186558.78,512481.36
28,182084.59,533269.42,184786.14,533248.66
29,182781.49,546601.21,191741.95,553948.32
30,179513.55,507871.84,173572.68,514465.66
31,182781.49,546601.21,191468.57,552378.87
32,182097.0,538419.42,185166.3,541224.92
33,185658.7,520531.03,175180.96,523430.49
34,196826.63,536790.04,195771.49,537281.77
35,182781.49,546601.21,190508.67,550458.29
36,167766.96,546937.62,168726.57,541535.11
37,182781.49,546601.21,175707.92,543374.08
38,164142.21,530990.34,162021.75,524998.38
39,185648.81,520386.09,185734.7,519880.1
40,179908.41,533781.95,179037.27,534599.85
41,185658.7,520531.03,191611.21,527627.5
42,179908.41,533781.95,179436.81,534520.38
43,182781.49,546601.21,190304.61,545121.62
44,165727.01,530631.31,168922.95,523732.9
45,179513.55,507871.84,181235.68,513345.52
46,182781.49,546601.21,192451.92,553442.16
47,165727.01,530631.31,169406.72,526938.92
48,165727.01,530631.31,166095.63,518044.81
49,179908.41,533781.95,180090.33,534852.57
50,182097.0,538419.42,185657.5,540398.5
51,185658.7,520531.03,182787.1,524735.13
52,164142.21,530990.34,157669.53,528995.46
53,196826.63,536790.04,192587.19,534115.35
54,182084.59,533269.42,181935.87,534639.17
55,185658.7,520531.03,189861.34,523036.43
56,165727.01,530631.31,167233.17,530233.73
57,185658.7,520531.03,193830.19,522283.54
58,179908.41,533781.95,179030.72,536509.97
59,179908.41,533781.95,179828.11,535416.77
60,185648.81,520386.09,188169.4,513248.38
61,185658.7,520531.03,178660.73,524397.63
62,179908.41,533781.95,177481.58,536186.16
63,196826.63,536790.04,190824.69,533236.25
64,179908.41,533781.95,174501.11,528482.11
65,182084.59,533269.42,185345.9,529197.48
66,165727.01,530631.31,174113.8,525763.85
67,165418.73,530850.99,168043.46,536446.13
68,185658.7,520531.03,184319.46,521181.15
69,165727.01,530631.31,171327.71,528016.47
70,180193.93,550041.28,178726.72,548033.28
71,179908.41,533781.95,177207.6,533840.31
72,185658.7,520531.03,188729.48,522407.68
