Order ID,Start Northing,Start Easting,End Northing,End Easting
1,179908.41,533781.95,177297.07,525449.63
2,179513.55,507871.84,189055.26,504241.19
3,165727.01,530631.31,168638.12,530125.3
4,182084.59,533269.42,181961.71,531847.75
5,196826.63,536790.04,193796.9,527756.13
6,182049.78,538402.03,177725.43,540640.22
7,185658.7,520531.03,176072.83,521741.7
8,196826.63,536790.04,192656.69,527868.63
9,179513.55,507871.84,190766.15,508600.05
10,182084.59,533269.42,186588.46,533679.21
11,182084.59,533269.42,182786.2,535077.33
12,179513.55,507871.84,172823.83,508611.74
13,185648.81,520386.09,189387.65,513113.04
14,182084.59,533269.42,188721.05,533688.32
15,179908.41,533781.95,177456.78,534211.44
16,182084.59,533269.42,182502.15,532651.92
17,185648.81,520386.09,189926.05,516188.48
18,185658.7,520531.03,180628.87,524682.72
19,180193.93,550041.28,180281.96,553710.13
20,185648.81,520386.09,189104.15,518692.26
21,182049.78,538402.03,180729.74,541980.38
22,182781.49,546601.21,186458.11,543143.85
23,196826.63,536790.04,190284.76,532470.96
24,196826.63,536790.04,196879.51,527457.15
25,179908.41,533781.95,177190.38,530247.03
26,182049.78,538402.03,180771.56,541687.42
27,182781.49,546601.21,185388.6,542962.94
28,196826.63,536790.04,194598.29,527878.02
29,164142.21,530990.34,159771.23,531136.2
30,185648.81,520386.09,178814.82,518171.43
31,180193.93,550041.28,177473.8,546301.91
32,167766.96,546937.62,171388.64,545941.49
33,185648.81,520386.09,181537.39,515443.95
34,182084.59,533269.42,181589.51,534074.8
35,180193.93,550041.28,175247.11,546852.57
36,167766.96,546937.62,166768.43,541876.13
37,182097.0,538419.42,183576.97,537547.31
38,185648.81,520386.09,185886.3,518995.72
39,185658.7,520531.03,184001.27,524710.39
40,196826.63,536790.04,192596.48,528911.32
41,185648.81,520386.09,185284.33,516550.62
42,182097.0,538419.42,182499.83,537810.59
43,179908.41,533781.95,177036.16,535548.34
44,164142.21,530990.34,161267.76,535159.97
45,196826.63,536790.04,193727.27,529938.6
46,182084.59,533269.42,181913.16,530709.07
47,182097.0,538419.42,187159.92,541814.76
48,179908.41,533781.95,178728.96,530109.59
49,165727.01,530631.31,170017.12,519293.25
50,196826.63,536790.04,190904.69,538201.1
51,182781.49,546601.21,182884.78,547534.92
52,165418.73,530850.99,170117.26,537726.2
53,179908.41,533781.95,174455.71,525481.97
54,185658.7,520531.03,175817.85,523511.97
55,180193.93,550041.28,184752.03,551900.74
56,179513.55,507871.84,174556.6,516132.67
57,180193.93,550041.28,184493.35,558825.73
58,179908.41,533781.95,174895.41,529801.18
59,165727.01,530631.31,166836.46,521111.62
60,165727.01,530631.31,166325.33,531553.0
61,180193.93,550041.28,186579.51,553794.0
62,167766.96,546937.62,166084.23,548302.95
63,185658.7,520531.03,184520.16,524510.35
64,179908.41,533781.95,176205.6,534714.83
65,182049.78,538402.03,176186.92,541698.44
66,182097.0,538419.42,185190.73,540841.45
67,179513.55,507871.84,174754.91,515373.44
68,182097.0,538419.42,184785.41,541958.44
69,165727.01,530631.31,172139.47,527542.77
70,179513.55,507871.84,173949.74,512894.67
71,179908.41,533781.95,176561.38,527398.42
72,179908.41,533781.95,174735.25,526743.87
73,165418.73,530850.99,168048.0,537884.47
74,185658.7,520531.03,188588.96,524559.62
75,179513.55,507871.84,175544.84,511245.33
76,179513.55,507871.84,175542.57,513270.04
77,182097.0,538419.42,185871.73,539141.5
78,167766.96,546937.62,168313.62,539952.83
79,167766.96,546937.62,167393.6,546899.81
80,185658.7,520531.03,183769.5,522686.34
81,167766.96,546937.62,171358.67,539478.89
82,164142.21,530990.34,162309.77,532104.19
83,179908.41,533781.95,175279.53,529231.17
84,165727.01,530631.31,166062.95,525279.12
85,179908.41,533781.95,176291.11,526785.59
86,182049.78,538402.03,179873.51,537115.43
87,185658.7,520531.03,187422.5,527624.36
88,182084.59,533269.42,183088.74,534264.07
89,196826.63,536790.04,192536.13,536831.29
90,182781.49,546601.21,187851.86,543307.25
91,179908.41,533781.95,175105.31,524037.92
92,182781.49,546601.21,191482.81,554186.35
93,165727.01,530631.31,170763.23,532628.66
94,185648.81,520386.09,188265.82,515163.99
95,185658.7,520531.03,183124.75,523883.52
96,179513.55,507871.84,175278.91,515973.49
97,165727.01,530631.31,171999.68,530251.98
98,185658.7,520531.03,185930.86,524876.21
99,182084.59,533269.42,186143.63,530619.23
100,179513.55,507871.84,172498.05,512623.52
101,185658.7,520531.03,182944.19,523434.79
102,165727.01,530631.31,168788.55,521796.67
103,185648.81,520386.09,192245.06,518944.07
104,180193.93,550041.28,175505.1,545035.73
105,165727.01,530631.31,170345.61,518083.11
106,185648.81,520386.09,192709.73,519817.06
107,185648.81,520386.09,186544.68,513846.9
108,185658.7,520531.03,178216.96,521464.1
109,165727.01,530631.31,172029.95,535734.32
110,179908.41,533781.95,175069.43,537292.5
111,167766.96,546937.62,173277.95,542372.2
112,165727.01,530631.31,171001.23,527900.29
113,167766.96,546937.62,171388.03,546339.7
114,179908.41,533781.95,176062.19,536622.67
115,165727.01,530631.31,169808.99,521100.38
