Order ID,Start Northing,Start Easting,End Northing,End Easting
1,180193.93,550041.28,177297.07,525449.63
2,167766.96,546937.62,189055.26,504241.19
3,196826.63,536790.04,168638.12,530125.3
4,179513.55,507871.84,181961.71,531847.75
5,167766.96,546937.62,193796.9,527756.13
6,179513.55,507871.84,177725.43,540640.22
7,180193.93,550041.28,176072.83,521741.7
8,167766.96,546937.62,192656.69,527868.63
9,167766.96,546937.62,190766.15,508600.05
10,179513.55,507871.84,186588.46,533679.21
11,179513.55,507871.84,182786.2,535077.33
12,180193.93,550041.28,172823.83,508611.74
13,167766.96,546937.62,189387.65,513113.04
14,179513.55,507871.84,188721.05,533688.32
15,179513.55,507871.84,177456.78,534211.44
16,179513.55,507871.84,182502.15,532651.92
17,167766.96,546937.62,189926.05,516188.48
18,167766.96,546937.62,180628.87,524682.72
19,179513.55,507871.84,180281.96,553710.13
20,167766.96,546937.62,189104.15,518692.26
21,179513.55,507871.84,180729.74,541980.38
22,179513.55,507871.84,186458.11,543143.85
23,179513.55,507871.84,190284.76,532470.96
24,167766.96,546937.62,196879.51,527457.15
25,179513.55,507871.84,177190.38,530247.03
26,179513.55,507871.84,180771.56,541687.42
27,179513.55,507871.84,185388.6,542962.94
28,167766.96,546937.62,194598.29,527878.02
29,196826.63,536790.04,159771.23,531136.2
30,180193.93,550041.28,178814.82,518171.43
31,179513.55,507871.84,177473.8,546301.91
32,179513.55,507871.84,171388.64,545941.49
33,180193.93,550041.28,181537.39,515443.95
34,179513.55,507871.84,181589.51,534074.8
35,179513.55,507871.84,175247.11,546852.57
36,179513.55,507871.84,166768.43,541876.13
37,179513.55,507871.84,183576.97,537547.31
38,167766.96,546937.62,185886.3,518995.72
39,167766.96,546937.62,184001.27,524710.39
40,167766.96,546937.62,192596.48,528911.32
41,167766.96,546937.62,185284.33,516550.62
42,179513.55,507871.84,182499.83,537810.59
43,179513.55,507871.84,177036.16,535548.34
44,196826.63,536790.04,161267.76,535159.97
45,167766.96,546937.62,193727.27,529938.6
46,179513.55,507871.84,181913.16,530709.07
47,179513.55,507871.84,187159.92,541814.76
48,179513.55,507871.84,178728.96,530109.59
49,180193.93,550041.28,170017.12,519293.25
50,179513.55,507871.84,190904.69,538201.1
51,179513.55,507871.84,182884.78,547534.92
52,179513.55,507871.84,170117.26,537726.2
53,180193.93,550041.28,174455.71,525481.97
54,180193.93,550041.28,175817.85,523511.97
55,179513.55,507871.84,184752.03,551900.74
56,180193.93,550041.28,174556.6,516132.67
57,179513.55,507871.84,184493.35,558825.73
58,196826.63,536790.04,174895.41,529801.18
59,196826.63,536790.04,166836.46,521111.62
60,196826.63,536790.04,166325.33,531553.0
61,179513.55,507871.84,186579.51,553794.0
62,179513.55,507871.84,166084.23,548302.95
63,167766.96,546937.62,184520.16,524510.35
64,179513.55,507871.84,176205.6,534714.83
65,179513.55,507871.84,176186.92,541698.44
66,179513.55,507871.84,185190.73,540841.45
67,180193.93,550041.28,174754.91,515373.44
68,179513.55,507871.84,184785.41,541958.44
69,196826.63,536790.04,172139.47,527542.77
70,180193.93,550041.28,173949.74,512894.67
71,180193.93,550041.28,176561.38,527398.42
72,196826.63,536790.04,174735.25,526743.87
73,179513.55,507871.84,168048.0,537884.47
74,167766.96,546937.62,188588.96,524559.62
75,180193.93,550041.28,175544.84,511245.33
76,180193.93,550041.28,175542.57,513270.04
77,179513.55,507871.84,185871.73,539141.5
78,179513.55,507871.84,168313.62,539952.83
79,179513.55,507871.84,167393.6,546899.81
80,167766.96,546937.62,183769.5,522686.34
81,179513.55,507871.84,171358.67,539478.89
82,196826.63,536790.04,162309.77,532104.19
83,196826.63,536790.04,175279.53,529231.17
84,196826.63,536790.04,166062.95,525279.12
85,180193.93,550041.28,176291.11,526785.59
86,179513.55,507871.84,179873.51,537115.43
87,167766.96,546937.62,187422.5,527624.36
88,179513.55,507871.84,183088.74,534264.07
89,179513.55,507871.84,192536.13,536831.29
90,179513.55,507871.84,187851.86,543307.25
91,180193.93,550041.28,175105.31,524037.92
92,179513.55,507871.84,191482.81,554186.35
93,196826.63,536790.04,170763.23,532628.66
94,167766.96,546937.62,188265.82,515163.99
95,167766.96,546937.62,183124.75,523883.52
96,180193.93,550041.28,175278.91,515973.49
97,196826.63,536790.04,171999.68,530251.98
98,167766.96,546937.62,185930.86,524876.21
99,167766.96,546937.62,186143.63,530619.23
100,180193.93,550041.28,172498.05,512623.52
101,167766.96,546937.62,182944.19,523434.79
102,196826.63,536790.04,168788.55,521796.67
103,167766.96,546937.62,192245.06,518944.07
104,179513.55,507871.84,175505.1,545035.73
105,180193.93,550041.28,170345.61,518083.11
106,167766.96,546937.62,192709.73,519817.06
107,167766.96,546937.62,186544.68,513846.9
108,180193.93,550041.28,178216.96,521464.1
109,179513.55,507871.84,172029.95,535734.32
110,179513.55,507871.84,175069.43,537292.5
111,179513.55,507871.84,173277.95,542372.2
112,196826.63,536790.04,171001.23,527900.29
113,179513.55,507871.84,171388.03,546339.7
114,179513.55,507871.84,176062.19,536622.67
115,196826.63,536790.04,169808.99,521100.38
116,180193.93,550041.28,180302.39,516791.22
117,179513.55,507871.84,182311.86,546743.85
118,179513.55,507871.84,164550.96,543064.01
119,167766.96,546937.62,182089.05,524869.85
120,179513.55,507871.84,172470.99,543786.95
121,196826.63,536790.04,166241.85,532087.34
122,167766.96,546937.62,183629.88,518565.51
123,179513.55,507871.84,179623.43,537962.36
124,179513.55,507871.84,171672.89,535882.7
125,179513.55,507871.84,188055.19,544133.97
126,179513.55,507871.84,185333.23,543500.93
127,167766.96,546937.62,188218.2,531384.34
128,180193.93,550041.28,179347.68,521720.02
129,179513.55,507871.84,184311.6,540170.88
130,179513.55,507871.84,186516.79,547007.45
131,179513.55,507871.84,176506.5,540056.44
132,179513.55,507871.84,174171.68,538996.86
133,167766.96,546937.62,180436.68,525157.87
134,196826.63,536790.04,169512.47,529497.11
135,196826.63,536790.04,164893.38,532440.25
136,196826.63,536790.04,169593.54,531137.03
137,179513.55,507871.84,190542.89,532731.39
138,167766.96,546937.62,189088.02,520269.28
139,167766.96,546937.62,187385.96,517870.06
140,179513.55,507871.84,181099.16,539330.47
141,179513.55,507871.84,186166.19,532459.56
142,179513.55,507871.84,180003.43,538093.25
143,180193.93,550041.28,180541.31,509302.59
144,179513.55,507871.84,185520.4,544173.8
145,164142.21,530990.34,197748.41,534437.83
146,196826.63,536790.04,167164.96,519161.2
147,167766.96,546937.62,192880.58,519483.41
148,180193.93,550041.28,178345.86,521371.02
149,179513.55,507871.84,190803.07,539845.93
150,196826.63,536790.04,172460.19,529021.42
151,179513.55,507871.84,188411.65,542478.92
152,196826.63,536790.04,166415.73,527752.13
153,196826.63,536790.04,164279.92,534388.63
154,167766.96,546937.62,193253.61,530150.01
155,179513.55,507871.84,176697.45,541447.55
156,180193.93,550041.28,180054.73,505613.12
157,180193.93,550041.28,179348.4,517385.34
158,179513.55,507871.84,173133.29,547967.37
159,196826.63,536790.04,168056.31,530595.93
160,179513.55,507871.84,182147.69,541796.35
161,180193.93,550041.28,175102.54,526114.29
162,167766.96,546937.62,186735.05,516317.9
163,196826.63,536790.04,167503.03,524844.95
164,179513.55,507871.84,179945.1,532670.68
165,179513.55,507871.84,172331.7,533431.38
166,179513.55,507871.84,174004.79,531768.95
167,179513.55,507871.84,173070.45,544283.24
168,196826.63,536790.04,165123.3,528699.24
169,180193.93,550041.28,181262.31,516264.26
170,179513.55,507871.84,187410.36,550835.04
171,180193.93,550041.28,176307.59,512284.56
172,179513.55,507871.84,181924.7,537731.29
173,179513.55,507871.84,176190.08,533368.08
174,179513.55,507871.84,186356.04,539337.23
175,167766.96,546937.62,193733.89,530606.38
176,179513.55,507871.84,176305.09,531451.44
177,180193.93,550041.28,176393.39,511630.38
178,167766.96,546937.62,196020.79,525917.12
179,196826.63,536790.04,170992.86,526238.37
180,179513.55,507871.84,178641.53,546789.66
181,167766.96,546937.62,184074.38,523301.24
182,167766.96,546937.62,192944.4,529748.13
