Order ID,Start Northing,Start Easting,End Northing,End Easting
1,182781.49,546601.21,177297.07,525449.63
2,165418.73,530850.99,189055.26,504241.19
3,182781.49,546601.21,168638.12,530125.3
4,167766.96,546937.62,181961.71,531847.75
5,196826.63,536790.04,193796.9,527756.13
6,165727.01,530631.31,177725.43,540640.22
7,179513.55,507871.84,176072.83,521741.7
8,167766.96,546937.62,192656.69,527868.63
9,182097.0,538419.42,190766.15,508600.05
10,185658.7,520531.03,186588.46,533679.21
11,185648.81,520386.09,182786.2,535077.33
12,182049.78,538402.03,172823.83,508611.74
13,185658.7,520531.03,189387.65,513113.04
14,182781.49,546601.21,188721.05,533688.32
15,179908.41,533781.95,177456.78,534211.44
16,180193.93,550041.28,182502.15,532651.92
17,179513.55,507871.84,189926.05,516188.48
18,167766.96,546937.62,180628.87,524682.72
19,182084.59,533269.42,180281.96,553710.13
20,182097.0,538419.42,189104.15,518692.26
21,182097.0,538419.42,180729.74,541980.38
22,165727.01,530631.31,186458.11,543143.85
23,185658.7,520531.03,190284.76,532470.96
24,185658.7,520531.03,196879.51,527457.15
25,182049.78,538402.03,177190.38,530247.03
26,182084.59,533269.42,180771.56,541687.42
27,179908.41,533781.95,185388.6,542962.94
28,182049.78,538402.03,194598.29,527878.02
29,165418.73,530850.99,159771.23,531136.2
30,182084.59,533269.42,178814.82,518171.43
31,165418.73,530850.99,177473.8,546301.91
32,182781.49,546601.21,171388.64,545941.49
33,182084.59,533269.42,181537.39,515443.95
34,164142.21,530990.34,181589.51,534074.8
35,179513.55,507871.84,175247.11,546852.57
36,182097.0,538419.42,166768.43,541876.13
37,164142.21,530990.34,183576.97,537547.31
38,165727.01,530631.31,185886.3,518995.72
39,185648.81,520386.09,184001.27,524710.39
40,164142.21,530990.34,192596.48,528911.32
41,165727.01,530631.31,185284.33,516550.62
42,182097.0,538419.42,182499.83,537810.59
43,164142.21,530990.34,177036.16,535548.34
44,165727.01,530631.31,161267.76,535159.97
45,164142.21,530990.34,193727.27,529938.6
46,182781.49,546601.21,181913.16,530709.07
47,167766.96,546937.62,187159.92,541814.76
48,167766.96,546937.62,178728.96,530109.59
49,182781.49,546601.21,170017.12,519293.25
50,165727.01,530631.31,190904.69,538201.1
51,182049.78,538402.03,182884.78,547534.92
52,185658.7,520531.03,170117.26,537726.2
53,165418.73,530850.99,174455.71,525481.97
54,165727.01,530631.31,175817.85,523511.97
55,185648.81,520386.09,184752.03,551900.74
56,182097.0,538419.42,174556.6,516132.67
57,165418.73,530850.99,184493.35,558825.73
58,182084.59,533269.42,174895.41,529801.18
59,164142.21,530990.34,166836.46,521111.62
60,165727.01,530631.31,166325.33,531553.0
61,185658.7,520531.03,186579.51,553794.0
62,165727.01,530631.31,166084.23,548302.95
63,196826.63,536790.04,184520.16,524510.35
64,179908.41,533781.95,176205.6,534714.83
65,185658.7,520531.03,176186.92,541698.44
66,185658.7,520531.03,185190.73,540841.45
67,179513.55,507871.84,174754.91,515373.44
68,182049.78,538402.03,184785.41,541958.44
69,165727.01,530631.31,172139.47,527542.77
70,179908.41,533781.95,173949.74,512894.67
71,180193.93,550041.28,176561.38,527398.42
72,185658.7,520531.03,174735.25,526743.87
73,182097.0,538419.42,168048.0,537884.47
74,179908.41,533781.95,188588.96,524559.62
75,165418.73,530850.99,175544.84,511245.33
76,196826.63,536790.04,175542.57,513270.04
77,165418.73,530850.99,185871.73,539141.5
78,185648.81,520386.09,168313.62,539952.83
79,196826.63,536790.04,167393.6,546899.81
80,196826.63,536790.04,183769.5,522686.34
81,185658.7,520531.03,171358.67,539478.89
82,182049.78,538402.03,162309.77,532104.19
83,182049.78,538402.03,175279.53,529231.17
84,182049.78,538402.03,166062.95,525279.12
85,185648.81,520386.09,176291.11,526785.59
86,185648.81,520386.09,179873.51,537115.43
87,179908.41,533781.95,187422.5,527624.36
88,185648.81,520386.09,183088.74,534264.07
89,185648.81,520386.09,192536.13,536831.29
90,185648.81,520386.09,187851.86,543307.25
91,182084.59,533269.42,175105.31,524037.92
92,167766.96,546937.62,191482.81,554186.35
93,196826.63,536790.04,170763.23,532628.66
94,182049.78,538402.03,188265.82,515163.99
95,167766.96,546937.62,183124.75,523883.52
96,164142.21,530990.34,175278.91,515973.49
97,180193.93,550041.28,171999.68,530251.98
98,165418.73,530850.99,185930.86,524876.21
99,182097.0,538419.42,186143.63,530619.23
100,179908.41,533781.95,172498.05,512623.52
101,185658.7,520531.03,182944.19,523434.79
102,179908.41,533781.95,168788.55,521796.67
103,182049.78,538402.03,192245.06,518944.07
104,185648.81,520386.09,175505.1,545035.73
105,165727.01,530631.31,170345.61,518083.11
106,182049.78,538402.03,192709.73,519817.06
107,165418.73,530850.99,186544.68,513846.9
108,167766.96,546937.62,178216.96,521464.1
109,180193.93,550041.28,172029.95,535734.32
110,182049.78,538402.03,175069.43,537292.5
111,164142.21,530990.34,173277.95,542372.2
112,167766.96,546937.62,171001.23,527900.29
113,167766.96,546937.62,171388.03,546339.7
114,185648.81,520386.09,176062.19,536622.67
115,179908.41,533781.95,169808.99,521100.38
116,182084.59,533269.42,180302.39,516791.22
117,182049.78,538402.03,182311.86,546743.85
118,185658.7,520531.03,164550.96,543064.01
119,185658.7,520531.03,182089.05,524869.85
120,185648.81,520386.09,172470.99,543786.95
121,165727.01,530631.31,166241.85,532087.34
122,165418.73,530850.99,183629.88,518565.51
123,182781.49,546601.21,179623.43,537962.36
124,179513.55,507871.84,171672.89,535882.7
125,182084.59,533269.42,188055.19,544133.97
126,182084.59,533269.42,185333.23,543500.93
127,180193.93,550041.28,188218.2,531384.34
128,196826.63,536790.04,179347.68,521720.02
129,165418.73,530850.99,184311.6,540170.88
130,164142.21,530990.34,186516.79,547007.45
131,167766.96,546937.62,176506.5,540056.44
132,185648.81,520386.09,174171.68,538996.86
133,179908.41,533781.95,180436.68,525157.87
134,180193.93,550041.28,169512.47,529497.11
135,185658.7,520531.03,164893.38,532440.25
136,182097.0,538419.42,169593.54,531137.03
137,180193.93,550041.28,190542.89,532731.39
138,196826.63,536790.04,189088.02,520269.28
139,179513.55,507871.84,187385.96,517870.06
140,182097.0,538419.42,181099.16,539330.47
