Order ID,Start Latitude,Start Longitude,End Latitude,End Longitude,Generate Time,Description
1,37.77934845247686,-122.50798856999164,37.753142935100925,-122.46086546325118,2022-08-22 12:41:10.696837,
2,37.768600627187425,-122.42567932767771,37.798212765623255,-122.41365722396492,2022-08-22 12:41:10.308408,
3,37.79824867049472,-122.40667707480401,37.73412584903895,-122.41139844147979,2022-08-22 12:41:10.891759,
4,37.76255055918002,-122.44706664817846,37.79519145677936,-122.41094548886485,2022-08-22 12:41:10.115919,
5,37.767487257182,-122.4300992001885,37.756501519296876,-122.39286316715753,2022-08-22 12:41:10.114528,
6,37.71459540380643,-122.44299726950386,37.79407416476874,-122.40615291930344,2022-08-22 12:41:10.852966,
7,37.78590350225734,-122.41636998147183,37.7992040562749,-122.40461430798345,2022-08-22 12:41:10.132898,
8,37.801727187823325,-122.41033475444459,37.78281411055826,-122.42427814004986,2022-08-22 12:41:10.996884,
9,37.72716769871704,-122.37964258799124,37.73018473279521,-122.49093005657609,2022-08-22 12:41:10.794362,
10,37.77879172856367,-122.50215826195559,37.787570467193696,-122.41809885326626,2022-08-22 12:41:10.928451,
11,37.75575819910322,-122.43029506146054,37.78443232356491,-122.41520995530412,2022-08-22 12:41:10.770674,
12,37.78414680633762,-122.43302204249164,37.7733654242533,-122.45041479639566,2022-08-22 12:41:10.527831,
13,37.73741143237278,-122.42514292409109,37.71279809313518,-122.42892135225124,2022-08-22 12:41:10.231475,
14,37.76694602492224,-122.44460107114688,37.768073979113026,-122.42163613528182,2022-08-22 12:41:10.228117,
15,37.77493314404695,-122.43712383057263,37.74247165137088,-122.44657363909344,2022-08-22 12:41:10.061080,
16,37.77501891533464,-122.42812749404611,37.795962735451376,-122.39147871280186,2022-08-22 12:41:10.515144,
17,37.78364786351041,-122.40863336749743,37.75097120009817,-122.4905472330428,2022-08-22 12:41:10.967988,
18,37.78236518619126,-122.41134106556022,37.786414666345024,-122.41209282713481,2022-08-22 12:41:10.171406,
19,37.77934144537317,-122.40741109544736,37.70934502450968,-122.46994858005971,2022-08-22 12:41:10.702663,
20,37.78859206001648,-122.41021650927438,37.78684994969723,-122.40876421490833,2022-08-22 12:41:10.063405,
21,37.76292662114143,-122.43584173942143,37.71183008096457,-122.4271371086309,2022-08-22 12:41:10.455235,
22,37.73184067689464,-122.44740998789793,37.73442691248396,-122.43544278384636,2022-08-22 12:41:10.909989,
23,37.78490640874795,-122.41373385575835,37.80153529113964,-122.43255252381091,2022-08-22 12:41:10.092007,
24,37.74715514931256,-122.41164020877346,37.75460760768107,-122.44041754651992,2022-08-22 12:41:10.533178,
25,37.77276680214409,-122.42556937490883,37.76830317808135,-122.44522460073097,2022-08-22 12:41:10.056697,
26,37.78506286618884,-122.47867611195122,37.79410937165023,-122.42283575239789,2022-08-22 12:41:10.813766,
27,37.758252428809435,-122.43622301620346,37.755548304234495,-122.41585270907972,2022-08-22 12:41:10.504450,
28,37.758240647222244,-122.4365710430327,37.72837732309939,-122.39105901922997,2022-08-22 12:41:10.749771,
29,37.724296938601384,-122.42171769113894,37.78383224068318,-122.400682749529,2022-08-22 12:41:10.883443,
30,37.784067328975226,-122.41326818778823,37.795593686688306,-122.41874341367141,2022-08-22 12:41:10.817519,
31,37.73452218567421,-122.39809586294837,37.77648131909041,-122.48993434816244,2022-08-22 12:41:10.579993,
32,37.719723464863,-122.47165125582609,37.75316859430913,-122.41318180061796,2022-08-22 12:41:10.046675,
33,37.767445481858054,-122.41963388652087,37.78505259114726,-122.41488077769897,2022-08-22 12:41:10.859800,
34,37.79676116500745,-122.43910305863825,37.760411269007484,-122.43861904170939,2022-08-22 12:41:10.846563,
35,37.7627672614098,-122.49552641144818,37.7530359268574,-122.43311998833066,2022-08-22 12:41:10.063231,
36,37.70996656503054,-122.41775298905615,37.757586997689025,-122.41979029530086,2022-08-22 12:41:10.975591,
37,37.76421336032704,-122.48294821321835,37.79035657612573,-122.44049568913798,2022-08-22 12:41:10.297885,
38,37.78459305310776,-122.41035649249503,37.763284945007506,-122.40678006306871,2022-08-22 12:41:10.545144,
39,37.70915213760079,-122.41614214971527,37.78389503534806,-122.40885571852426,2022-08-22 12:41:10.468521,
40,37.803490554225014,-122.39809215904887,37.7453061251403,-122.41714760444829,2022-08-22 12:41:10.423009,
41,37.76939643141686,-122.4506695317288,37.78945669638663,-122.41383907524525,2022-08-22 12:41:10.846619,
42,37.78245834111437,-122.46775793282757,37.759987946792066,-122.40757530123598,2022-08-22 12:41:10.563920,
43,37.71984268129617,-122.45425896395788,37.78528954091231,-122.41206360628424,2022-08-22 12:41:10.241582,
44,37.79972596397226,-122.41057645801538,37.729075662583995,-122.45276793425913,2022-08-22 12:41:10.514678,
45,37.767085732725555,-122.44996827028619,37.76222417339252,-122.48451453727684,2022-08-22 12:41:10.588253,
46,37.78223299944415,-122.48209394112885,37.71317255659338,-122.41112197947432,2022-08-22 12:41:10.686595,
47,37.80304060119729,-122.43719682983547,37.78746704076292,-122.41622714544332,2022-08-22 12:41:10.199386,
48,37.7837155294298,-122.44644819886531,37.77666876032227,-122.42465521748746,2022-08-22 12:41:10.593817,
49,37.78452736898656,-122.49325866798668,37.77368647985905,-122.45025337039527,2022-08-22 12:41:10.081000,
50,37.80231266435599,-122.4192242151247,37.71043571396149,-122.42081392435696,2022-08-22 12:41:10.812782,
51,37.741516718093855,-122.41664642127952,37.7774954532577,-122.42166052903148,2022-08-22 12:41:10.124353,
52,37.789280215270125,-122.41937777984317,37.73115683673861,-122.49659877078517,2022-08-22 12:41:10.646968,
53,37.773324858364994,-122.40941174215891,37.7836673690747,-122.41720860788594,2022-08-22 12:41:10.484946,
54,37.72231693122984,-122.40326406709174,37.79548814072147,-122.43998741416573,2022-08-22 12:41:10.130872,
55,37.78159498322241,-122.41639021902009,37.78706137854557,-122.41876118176971,2022-08-22 12:41:10.373702,
56,37.78525883169286,-122.41853877339956,37.79119045618863,-122.40952807297157,2022-08-22 12:41:10.174537,
57,37.78872115162343,-122.40919482259096,37.78629157198037,-122.4156399671005,2022-08-22 12:41:10.374337,
58,37.73286739395639,-122.43779078161408,37.77654972791324,-122.4596349300006,2022-08-22 12:41:10.586500,
