"tract","Name","Population_Density_in_2010"
E09000001,City of London,2438
E05000026,Barking and Dagenham,11960
E05000027,Barking and Dagenham,8278
E05000028,Barking and Dagenham,11751
E05000029,Barking and Dagenham,3317
E05000030,Barking and Dagenham,3214
E05000031,Barking and Dagenham,8537
E05000032,Barking and Dagenham,12950
E05000033,Barking and Dagenham,9755
E05000034,Barking and Dagenham,5983
E05000035,Barking and Dagenham,7511
E05000036,Barking and Dagenham,6177
E05000037,Barking and Dagenham,8476
E05000038,Barking and Dagenham,3379
E05000039,Barking and Dagenham,1969
E05000040,Barking and Dagenham,9037
E05000041,Barking and Dagenham,5304
E05000042,Barking and Dagenham,8020
E05000043,Barnet,5318
E05000044,Barnet,9765
E05000045,Barnet,7250
E05000046,Barnet,10411
E05000047,Barnet,6605
E05000048,Barnet,4522
E05000049,Barnet,6865
E05000050,Barnet,3662
E05000051,Barnet,6268
E05000052,Barnet,3552
E05000053,Barnet,7064
E05000054,Barnet,3409
E05000055,Barnet,7070
E05000056,Barnet,1917
E05000057,Barnet,2267
E05000058,Barnet,5058
E05000059,Barnet,1912
E05000060,Barnet,3632
E05000061,Barnet,8196
E05000062,Barnet,5945
E05000063,Barnet,7180
E05000064,Bexley,3872
E05000065,Bexley,4316
E05000066,Bexley,6552
E05000067,Bexley,5311
E05000068,Bexley,5541
E05000069,Bexley,4626
E05000070,Bexley,6509
E05000071,Bexley,3442
E05000072,Bexley,1688
E05000073,Bexley,4221
E05000074,Bexley,5254
E05000075,Bexley,2996
E05000076,Bexley,6638
E05000077,Bexley,5139
E05000078,Bexley,4207
E05000079,Bexley,2301
E05000080,Bexley,6208
E05000081,Bexley,2609
E05000082,Bexley,7981
E05000083,Bexley,4459
E05000084,Bexley,2782
E05000085,Brent,8254
E05000086,Brent,5580
E05000087,Brent,7915
E05000088,Brent,6427
E05000089,Brent,9491
E05000090,Brent,5401
E05000091,Brent,15248
E05000092,Brent,13756
E05000093,Brent,5509
E05000094,Brent,19583
E05000095,Brent,11747
E05000096,Brent,4780
E05000097,Brent,6782
E05000098,Brent,10839
E05000099,Brent,9111
E05000100,Brent,4723
E05000101,Brent,7583
E05000102,Brent,6404
E05000103,Brent,6190
E05000104,Brent,10560
E05000105,Brent,10856
E05000106,Bromley,3342
E05000107,Bromley,1299
E05000108,Bromley,2143
E05000109,Bromley,5195
E05000110,Bromley,1218
E05000111,Bromley,1606
E05000112,Bromley,7408
E05000113,Bromley,5091
E05000114,Bromley,1248
E05000115,Bromley,4441
E05000116,Bromley,5895
E05000117,Bromley,191
E05000118,Bromley,2173
E05000119,Bromley,1539
E05000120,Bromley,3233
E05000121,Bromley,4333
E05000122,Bromley,3687
E05000123,Bromley,6181
E05000124,Bromley,3361
E05000125,Bromley,4117
E05000126,Bromley,4240
E05000127,Bromley,3458
E05000128,Camden,18529
E05000129,Camden,12024
E05000130,Camden,11968
E05000131,Camden,18350
E05000132,Camden,13525
E05000133,Camden,8948
E05000134,Camden,18522
E05000135,Camden,5064
E05000136,Camden,19305
E05000137,Camden,3726
E05000138,Camden,12326
E05000139,Camden,14700
E05000140,Camden,20200
E05000141,Camden,21430
E05000142,Camden,11450
E05000143,Camden,12935
E05000144,Camden,11920
E05000145,Camden,15691
E05000146,Croydon,11345
E05000147,Croydon,5364
E05000148,Croydon,11860
E05000149,Croydon,8059
E05000150,Croydon,1621
E05000151,Croydon,3078
E05000152,Croydon,4863
E05000153,Croydon,6344
E05000154,Croydon,7964
E05000155,Croydon,1529
E05000156,Croydon,2409
E05000157,Croydon,4559
E05000158,Croydon,7144
E05000159,Croydon,3830
E05000160,Croydon,2050
E05000161,Croydon,8471
E05000162,Croydon,1856
E05000163,Croydon,5159
E05000164,Croydon,7438
E05000165,Croydon,10355
E05000166,Croydon,6455
E05000167,Croydon,5054
E05000168,Croydon,9697
