"tract","Name","Population_Density_in_2010"
E01000001,City of London,81632
E01000002,City of London,92111
E01000003,City of London,32685
E01000005,City of London,44602
E01000006,Barking and Dagenham,32685
E01000007,Barking and Dagenham,32685
E01000008,Barking and Dagenham,32708
E01000009,Barking and Dagenham,32708
E01000010,Barking and Dagenham,32685
E01000011,Barking and Dagenham,32685
E01000012,Barking and Dagenham,32685
E01000013,Barking and Dagenham,32708
E01000014,Barking and Dagenham,32708
E01000015,Barking and Dagenham,32708
E01000016,Barking and Dagenham,32708
E01000017,Barking and Dagenham,32708
E01000018,Barking and Dagenham,32708
E01000019,Barking and Dagenham,32708
E01000020,Barking and Dagenham,32708
E01000021,Barking and Dagenham,32708
E01000022,Barking and Dagenham,50869
E01000023,Barking and Dagenham,50869
E01000024,Barking and Dagenham,32708
E01000025,Barking and Dagenham,32708
E01000027,Barking and Dagenham,32708
E01000028,Barking and Dagenham,32708
E01000029,Barking and Dagenham,32708
E01000030,Barking and Dagenham,32708
E01000031,Barking and Dagenham,50869
E01000032,Barking and Dagenham,32708
E01000033,Barking and Dagenham,32708
E01000034,Barking and Dagenham,32708
E01000035,Barking and Dagenham,32708
E01000036,Barking and Dagenham,50869
E01000037,Barking and Dagenham,50869
E01000038,Barking and Dagenham,32708
E01000039,Barking and Dagenham,50869
E01000040,Barking and Dagenham,32708
E01000041,Barking and Dagenham,32708
E01000042,Barking and Dagenham,32708
E01000043,Barking and Dagenham,32708
E01000044,Barking and Dagenham,32708
E01000045,Barking and Dagenham,32708
E01000046,Barking and Dagenham,32708
E01000048,Barking and Dagenham,32708
E01000049,Barking and Dagenham,32708
E01000050,Barking and Dagenham,32708
E01000051,Barking and Dagenham,32708
E01000052,Barking and Dagenham,32708
E01000053,Barking and Dagenham,32708
E01000054,Barking and Dagenham,32708
E01000055,Barking and Dagenham,32708
E01000056,Barking and Dagenham,32708
E01000057,Barking and Dagenham,32708
E01000058,Barking and Dagenham,32708
E01000059,Barking and Dagenham,32708
E01000060,Barking and Dagenham,32708
E01000061,Barking and Dagenham,32708
E01000062,Barking and Dagenham,32708
E01000063,Barking and Dagenham,32708
E01000064,Barking and Dagenham,32708
E01000065,Barking and Dagenham,5643
E01000066,Barking and Dagenham,32708
E01000067,Barking and Dagenham,32708
E01000068,Barking and Dagenham,32685
E01000069,Barking and Dagenham,32685
E01000070,Barking and Dagenham,50869
E01000071,Barking and Dagenham,50869
E01000072,Barking and Dagenham,32708
E01000073,Barking and Dagenham,32708
E01000074,Barking and Dagenham,32708
E01000075,Barking and Dagenham,32708
E01000076,Barking and Dagenham,32708
E01000077,Barking and Dagenham,32708
E01000078,Barking and Dagenham,32708
E01000079,Barking and Dagenham,32708
E01000080,Barking and Dagenham,32708
E01000081,Barking and Dagenham,32708
E01000082,Barking and Dagenham,32708
E01000083,Barking and Dagenham,32708
E01000084,Barking and Dagenham,32708
E01000085,Barking and Dagenham,32708
E01000086,Barking and Dagenham,32708
E01000087,Barking and Dagenham,32708
E01000088,Barking and Dagenham,32708
E01000089,Barking and Dagenham,50869
E01000090,Barking and Dagenham,32685
E01000091,Barking and Dagenham,5643
E01000092,Barking and Dagenham,32708
E01000093,Barking and Dagenham,32708
E01000094,Barking and Dagenham,32685
E01000095,Barking and Dagenham,50869
E01000096,Barking and Dagenham,32708
E01000097,Barking and Dagenham,32708
E01000098,Barking and Dagenham,32708
E01000099,Barking and Dagenham,32708
E01000100,Barking and Dagenham,32708
E01000101,Barking and Dagenham,32708
