tract,Name,Population_Density_in_2010
E09000001,City of London,"2,438"
E05000026,Barking and Dagenham,"11,960"
E05000027,Barking and Dagenham,"8,278"
E05000028,Barking and Dagenham,"11,751"
E05000029,Barking and Dagenham,"3,317"
E05000030,Barking and Dagenham,"3,214"
E05000031,Barking and Dagenham,"8,537"
E05000032,Barking and Dagenham,"12,950"
E05000033,Barking and Dagenham,"9,755"
E05000034,Barking and Dagenham,"5,983"
E05000035,Barking and Dagenham,"7,511"
E05000036,Barking and Dagenham,"6,177"
E05000037,Barking and Dagenham,"8,476"
E05000038,Barking and Dagenham,"3,379"
E05000039,Barking and Dagenham,"1,969"
E05000040,Barking and Dagenham,"9,037"
E05000041,Barking and Dagenham,"5,304"
E05000042,Barking and Dagenham,"8,020"
E05000043,Barnet,"5,318"
E05000044,Barnet,"9,765"
E05000045,Barnet,"7,250"
E05000046,Barnet,"10,411"
E05000047,Barnet,"6,605"
E05000048,Barnet,"4,522"
E05000049,Barnet,"6,865"
E05000050,Barnet,"3,662"
E05000051,Barnet,"6,268"
E05000052,Barnet,"3,552"
E05000053,Barnet,"7,064"
E05000054,Barnet,"3,409"
E05000055,Barnet,"7,070"
E05000056,Barnet,"1,917"
E05000057,Barnet,"2,267"
E05000058,Barnet,"5,058"
E05000059,Barnet,"1,912"
E05000060,Barnet,"3,632"
E05000061,Barnet,"8,196"
E05000062,Barnet,"5,945"
E05000063,Barnet,"7,180"
E05000064,Bexley,"3,872"
E05000065,Bexley,"4,316"
E05000066,Bexley,"6,552"
E05000067,Bexley,"5,311"
E05000068,Bexley,"5,541"
E05000069,Bexley,"4,626"
E05000070,Bexley,"6,509"
E05000071,Bexley,"3,442"
E05000072,Bexley,"1,688"
E05000073,Bexley,"4,221"
E05000074,Bexley,"5,254"
E05000075,Bexley,"2,996"
E05000076,Bexley,"6,638"
E05000077,Bexley,"5,139"
E05000078,Bexley,"4,207"
E05000079,Bexley,"2,301"
E05000080,Bexley,"6,208"
E05000081,Bexley,"2,609"
E05000082,Bexley,"7,981"
E05000083,Bexley,"4,459"
E05000084,Bexley,"2,782"
E05000085,Brent,"8,254"
E05000086,Brent,"5,580"
E05000087,Brent,"7,915"
E05000088,Brent,"6,427"
E05000089,Brent,"9,491"
E05000090,Brent,"5,401"
E05000091,Brent,"15,248"
E05000092,Brent,"13,756"
E05000093,Brent,"5,509"
E05000094,Brent,"19,583"
E05000095,Brent,"11,747"
E05000096,Brent,"4,780"
E05000097,Brent,"6,782"
E05000098,Brent,"10,839"
E05000099,Brent,"9,111"
E05000100,Brent,"4,723"
E05000101,Brent,"7,583"
E05000102,Brent,"6,404"
E05000103,Brent,"6,190"
E05000104,Brent,"10,560"
E05000105,Brent,"10,856"
E05000106,Bromley,"3,342"
E05000107,Bromley,"1,299"
E05000108,Bromley,"2,143"
E05000109,Bromley,"5,195"
E05000110,Bromley,"1,218"
E05000111,Bromley,"1,606"
E05000112,Bromley,"7,408"
E05000113,Bromley,"5,091"
E05000114,Bromley,"1,248"
E05000115,Bromley,"4,441"
E05000116,Bromley,"5,895"
E05000117,Bromley,191
E05000118,Bromley,"2,173"
E05000119,Bromley,"1,539"
E05000120,Bromley,"3,233"
E05000121,Bromley,"4,333"
E05000122,Bromley,"3,687"
E05000123,Bromley,"6,181"
E05000124,Bromley,"3,361"
E05000125,Bromley,"4,117"
E05000126,Bromley,"4,240"
E05000127,Bromley,"3,458"
E05000128,Camden,"18,529"
E05000129,Camden,"12,024"
E05000130,Camden,"11,968"
E05000131,Camden,"18,350"
E05000132,Camden,"13,525"
E05000133,Camden,"8,948"
E05000134,Camden,"18,522"
E05000135,Camden,"5,064"
E05000136,Camden,"19,305"
E05000137,Camden,"3,726"
E05000138,Camden,"12,326"
E05000139,Camden,"14,700"
E05000140,Camden,"20,200"
E05000141,Camden,"21,430"
